Keywords,Utterance,Response
"hello, hi, greet","hello, hi, hey, greetings","Hello 👋 Welcome to Jovian! How can I help you shop today?"
"price, cost, how much","how much is this, price of clothes, cost","Prices are listed on each product page 👕 Let me know what item you're interested in."
"size, fit, measurement","what sizes do you have, size guide","We offer sizes from 2-3 yrs to 8-9 yrs. Check the size chart on each product."
"delivery, shipping, courier","how long is delivery, shipping time","We deliver within 1–3 days across Kenya 🚚"
"location, shop, store","where are you located, do you have a shop","Jovian is an online store, but we deliver nationwide in Kenya."
"order, buy, purchase","how do I order, I want to buy","Just add your item to cart and checkout. We’ll handle the rest."
"payment, pay, mpesa","how can I pay, payment methods","We accept M-Pesa and other secure online payment methods 💳"
"refund, return, exchange","can I return item, refund policy","Yes, returns are allowed within 7 days if item is unused with tags."
"discount, offer, promo","any discounts, do you have offers","Yes 🎉 We often run discounts. Check our homepage for latest deals."
"hello again, back","i'm back, hey again","Welcome back 😊 Ready to find something stylish?"
"recommend, suggest, outfit","what should I wear, recommend outfit","Tell me your style and I’ll suggest the perfect Jovian outfit 👕"
"boys, girls, kids","do you have kids clothes, boys outfits","Yes! We have stylish clothing for both boys and girls."
"quality, material","are your clothes good quality","Yes 💯 We use high-quality, durable and comfortable fabrics."
"track, order status","where is my order, track order","You can track your order using the tracking link sent after purchase."
"contact, help, support","how can I contact you, customer care","You can reach us via WhatsApp or email for quick support 📩"
"new, arrival, latest","what’s new, new collection","We update our collection regularly. Check our latest arrivals section ✨"
"colors, color options","what colors are available","Most items come in multiple color options. Check product details."
"gift, present","can I gift someone clothes","Yes 🎁 You can buy and send directly as a gift."
"sale, clearance","is there a sale","Yes 🔥 Check our sale section for discounted items."
"bye, goodbye, exit","bye, see you, goodbye","Goodbye 👋 Thanks for shopping with Jovian! Come back soon."
